title,description,bestsellers-rank,authors
Encyclopedia of Food Mycotoxins,"All relevant toxin producing fungi, their natural occurence, the possible mycotoxicosis, further the biochemical and physiological effects of mycotoxins, their chemical data and toxicity are treated here comprehensively. For each fungi, reference is given to the food at risk. All foods which have been reported to be contaminated with mycotoxins are listed, including data on the degree of contamination, the concentration of the toxins and the country of origin and/or detection of the contaminated food.",3378599.0,Scott Metker
Foundations of Nanomechanics : From Solid-State Theory to Device Applications,"This text provides an introduction, at the level of an advanced student in engineering or physics, to the field of nanomechanics and nanomechanical devices. It provides a unified discussion of solid mechanics, transducer applications, and sources of noise and nonlinearity in such devices. Demonstrated applications of these devices, as well as an introduction to fabrication techniques, are also discussed. The text concludes with an overview of future technologies, including the potential use of carbon nanotubes and other molecular assemblies.",3378542.0,Shelley Green
Spotlight on Young Children : Social and Emotional Development,"Make the most of the opportunities embedded in your classroom practices, routines, and lessons to help children from birth through third grade develop the social and emotional skills essential to their future well-being and success. This collection covers a wide range of critical topics, from understanding diverse cultural practices to addressing bullying behaviors.",3378384.0,Ann Alston
Los Guinos del Destino,"The why and how of chances and coincidences, with many examples of famous coincidences all over the world",3378371.0,Ann Hodgman
Medway's Mini Dictionary : English Synonyms,,3378294.0,Alistair D.N. Edwards
Chromatography of Aroma Compounds and Fragrances,"The quantity and composition of aroma and avour compounds in foods and food products exert a marked in uence on the consumer acceptance and, consequently, on the commercial value of the products. It has been established many times that one of the main properties employed for the evaluation of the product quality is the avour, that is, an adequate avour composition considerably enhances the m- ketability. Traditional analytical methods are generally unsuitable for the accurate determination of the quantity of this class of compounds. Moreover, they do not contain any useful information on the concentration of the individual substances and they are not suitable for their identi cation. As the stability of the aroma compounds and fragrances against hydrolysis, oxidation and other environmental and tech- logical conditions shows marked differences, the exact determination of the avour composition of a food or food product may help for the prediction of the she- life of products and the assessment of the in uence of technological steps on the aroma compounds resulting in more consumer-friendly processing methods. Furthermore, the qualitative determination and identi cation of these substances may contribute to the establishment of the provenance of the product facilitating the authenticity test. Because of the considerable commercial importance of avour composition, much effort has been devoted to the development of methods suitable for the separation and quantitative determination of avour compounds and f- grancesinfoodsandinotherindustrialproducts.",3378291.0,Ronald Reng
Learning Network Services for Professional Development,"A ""Learning Network"" is a community of people who help each other to better understand and handle certain events and concepts in work or life. As a result - and sometimes also as an aim - participating in learning networks stimulates personal development, a better understanding of concepts and events, career development, and employability. ""Learning Network Services"" are Web services that are designed to facilitate the creation of distributed Learning Networks and to support the participants with various functions for knowledge exchange, social interaction, assessment and competence development in an effective way. The book presents state-of-the-art insights into the field of Learning Networks and Web-based services which can facilitate all kinds of processes within these networks.",3378266.0,Christopher Edwin Johnsen
Watching Nostalgia : An Analysis of Nostalgic Television Fiction and its Reception,"What is nostalgia in television? How far does a nostalgic text trigger nostalgic emotions? And how are nostalgic series received by different audience groups?  Stefanie Armbruster uses an interdisciplinary approach as analytical and theoretical basis. Her detailed analyses identify nostalgia in reruns, remakes and period dramas such as ""Knight Rider"" or ""Mad Men"". Focus group discussions with German and Spanish viewers give new insights into its reception.  The in-depth study helps to understand the interrelation of nostalgic texts and nostalgic reception better and explores a decisive part of a phenomenon that is omnipresent in our current TV landscape.",3378248.0,R G Alexander
The Neurobiology of Orthodontics : Treatment of Malocclusion Through Neuroplasticity,"This book presents the neurobiology of orthodontics according to the most recently acquired knowledge on the interaction of the brain activity with the senses. In particular, it highlights the ability of orofacial sensory input to modulate and change the brain activity underlying functions of the stomatognathic system, such as chewing, biting, speech, and occlusal feedback. The approach adopted thereby represents a significant departure from traditional orthodontics, in which malocclusions of the teeth have been interpreted as deriving from DNA coding errors. The described new conceptualization of the etiology and diagnosis of malocclusions has profound implications for orthodontic therapy, as is clearly explained. Orthodontic therapy in turn has significant effects on the brain, which are documented in a chapter devoted to neuroimaging methods. By opening up new and creative pathways in the world of orthodontics, this book will hopefully both educate and excite the practitioner. It is recommended reading for all orthodontists.",3378241.0,Jean Maruani
The Dark Gnu and Other Poems,"Poetry. Wendy Videlock's THE DARK GNU AND OTHER POEMS plays, jokes, teaches, admonishes, yields to the ecstatic, and strays into the shadowy where If not for the dark, / no / spark. All of this is heightened by striking full-color illustrations from the author herself. There are stories that come and go in a couple of blinks, and stories that linger and juggle their way from hut to the market, to the fair, on a swaying dappled mare, to get to all the good to be had or done. Mother Goose, myth, folklore, chants, lyrics and narratives are well-represented. Like NEVERTHLESS, Videlock's first collection also from Able Muse Press, THE DARK GNU abounds with fun, quirks, wit, and wisdom, but this time to enchant and enlighten children of all ages.",3378217.0,Vadim Elisseeff
Collective Simulation-Based Training in the U.S. Army,"The U.S. Army uses various virtual systems to help soldiers learn, practice, and demonstrate proficiency in collective skills. This report examines the fidelity of virtual systems to train U.S. Army platoon- and company-level collective skills and estimates the costs and effectiveness of using simulators with different degrees of fidelity for collective training.",3378211.0,Diarmuid O'Donnchadha
Mount Royal Tunnel : Canada's First Subway,An illustrated history of the electrified railway tunnel and station complex still serving Montreal.,3378105.0,Paul Cornish
Railways of Southern Quebec : Volume II - From the Richelieu to the Chaudiere,"Railways of Southern Quebec, Volume II, continues the study, begun in Railways of Southern Quebec, Volume I, of various railway companies that operated in Quebec south of the St. Lawrence River. The featured railways illustrate the many diverse elements of 19th century railway construction. Also covered are aspects of the railway network rationalization resulting from railways having lost their transportation primacy to cars and trucks.",3378103.0,Professor Julian Stern
Trouble on the Tracks : Grand Trunk Railway of New England Tragedies,"In the 1850s, Grand Trunk Railway, later Canadian National, was one of New England's and Canada's most important and heavily travelled railway lines. It linked Canada's metropolis, Montreal -- through Vermont and New Hampshire -- with the nearest ice-free port at Portland, Maine. Despite constant upgrading, accidents did occur, some of them catastrophic. With details about four dozen such tragedies, you'll learn what happened when people, vehicles, or nature decided to duel with a fully-loaded train. Discover the circumstances when a cattle train hit a mudslide... a passenger train toppled over the bank... two locomotives met in heavy fog that made it impossible to see... two trains, one fully-loaded with immigrants, came towards each other on ONE track!... the West Paris Bridge collapsed... two double-headed freight trains collided head-on ... a train hit a fuel tanker truck, with ensuing explosion and fire... a derailment toppled a chlorine tank car off a bridge onto the highway below. 196 pages, over 200 photographs, (5 color), 16 maps and diagrams to show where the accidents occurred.",3378102.0,Philippe Baudin
Mini Atlas of Ophthalmic Surgery,"pocket sized atlas with an accompanying CD-ROM, this title is useful for those involved in medicine and health sciences from undergraduates to private practitioners, medical professionals and academics. Over the next 2 years approximately 50 titles will be published by Anshan, covering a comprehensive range of disciplines within medicine and health sciences. The full series will develop into an outstanding resource for any medical library and each individual title will be a great value-for-money addition to a personal collection, or for use as a portable reference for work or home.",3378015.0,Jason Wingard
Mini Atlas of Gastrointestinal Surgery,"A pocket sized atlas with an accompanying CD-ROM, this title is useful for those involved in medicine and health sciences from undergraduates to private practitioners, medical professionals and academics. Over the next 2 years approximately 50 titles will be published by Anshan, covering a comprehensive range of disciplines within medicine and health sciences. The full series will develop into an outstanding resource for any medical library and each individual title will be a great value-for-money addition to a personal collection, or for use as a portable reference for work or home.",3378013.0,John F. Martin
Mini Atlas of ECG,"A pocket sized atlas with an accompanying CD-ROM, this title is useful for those involved in medicine and health sciences from undergraduates to private practitioners, medical professionals and academics. Over the next 2 years approximately 50 titles will be published by Anshan, covering a comprehensive range of disciplines within medicine and health sciences. The full series will develop into an outstanding resource for any medical library and each individual title will be a great value-for-money addition to a personal collection, or for use as a portable reference for work or home.",3378010.0,John F. Marszalek
Mini Atlas of Diagnostic Radiology : Emergency and Chest Radiology,"A handy pocket sized atlas containing information compiled from expert authors. It includes a CD ROM, and is suitable for everyone involved in medicine and health sciences from undergraduates to private practitioners, medical professionals and academics.",3378009.0,James A Coffman
Space Team,,3377949.0,Oana Maria Sofronov
"Apollo 10, 2nd Edition : The NASA Mission Reports",The four official NASA documents collected in this volume narrate the Apollo 10 mission.,3377807.0,Amused Cloud Publishing
I Remain Your Loving Wife Lizzie : Letters in a Skip 1917-1919,,3377786.0,Nicole & Michael Sebastian
Wandering Through Virginia's Vineyards,"There is a gold rush underway in Virginia. But the treasure under pursuit is not a precious metal. Rather, it is the grape. From Leesburg in the north down to Roanoke in the south, dot-com millionaires, celebrities, retired civil servants, and apple farmers are turning fallow pastures and orchards into row after row of European fine wine grapes.",3377785.0,Mourino Mhsa
The Hollow Earth Revisited,"What is the Hollow Earth? A figment of the imagination of those who cling to their beliefs about the Easter Bunny, Santa Claus and the Tooth Fairy?",3377743.0,Ben Goldacre
Other People's Children : What happens to those in the bottom 50% academically?,"In 2017 Barnaby Lenon, previously the head master of Harrow School, wrote a best-selling book about high-achieving state schools in England (Much Promise). Later that year he went on a tour of Further Education colleges and started to research the fortunes of those who do less well at school. In Other People's Children he writes about the state of vocational education in England and the implications of his findings for a post-Brexit economy.",3377642.0,Buster Merryfield
Deep Space,"Space junkies and armchair astronauts are provided with comprehensive, handy references for a variety of space-related missions, vehicles, and concepts in this pocket-sized series. Compiled with the cooperation of NASA, each topic-specific reference features relevant statistics, photographs, and the stories behind each project. Books on manned missions include crew photographs, information on patches and equipment, and flight statistics such as time in space, distance traveled, and mission objectives. Photographs and statistics for launch vehicles, orbiters, probes, and experimental equipment are featured in each equipment-specific reference.",3377539.0,Amused Cloud Publishing
Spenser and the Rocks,"As he begins to discover the interesting rocks all around him, Spenser has many questions about what he finds. Given the differences in the rocks' colours, sizes, shapes, and textures, there is much to learn about rocks! But that's not all the curious child learns in this tale of discovery. Spenser's fascination grows as he sorts and re-sorts his rock collection and asks questions about what he observes. For Spenser-as well as young readers-the experience is an engaging introduction to scientific procedures such as classification and research.",3377449.0,Ahmed Fekry Ibrahim
Legendary Locomotives,,3377415.0,Paul S. Gregory
Collecting Sikh : Image of the Guru,"The royal Sikh court at Lahore was undoubtedly 19th-century India's most magnificent, including one of the greatest treasure collections the world had ever seen. Maharaja Ranjit Singh's spectacular treasury or toshakhana housed objects that are the prized possessions of some of the world's most famous public collections - the Koh-i-Noor diamond (British Crown Jewels) and his golden throne (Victoria & Albert Museum) are perhaps the most well-known.",3377399.0,Mark Mcevoy
When Evil Whispers,"What you're about to read is a book based on a young man who moves into a new town with his parents. Feeling lonely and homesick, he soon meets a young woman who he falls in love with. But then he realizes all his friends and this young woman he's in love with are all Satanists. Because he didn't want to be lonely he ended up doing many evil things just to be accepted, to the point he rejected all morals and ethics. Then he made a shocking discovery about the name Jesus Christ. This book is very intense and not to be taken lightly.",3377385.0,Holger Michael Zellentin
Blossom : Bookmarks: Coloring book: Bible Quote: 20 designs: Flowers,"Blossom: Bible Quote: Flowers comes with 20 unique designs. Rectangular frames sized 2 x 7 inches, a standard bookmark size. Every pattern tells your style, this book also gives you inspiration and encouragement. The Perfect gift for Everyone.",3377364.0,Elisabetta Poluzzi
Peer Coaching,"This research was carried out to further the theoretical and practical understanding of peer coaching and its impact on problem solving. The study group were undergraduate physiotherapy students, but the research is applicable to any professional or trade based occupational group where the development of competency is needed. In this research, two models of learning were evaluated using a standardized simulated case. The first learning model was individualistic, whereby a learner is expected to perform independently. The second model of learning was reciprocal peer coaching, whereby two learners support and coach each other throughout their performance. The outcomes of this research demonstrated that the reciprocal peer coaching model led to statistically significant improvements in performance and reasoning. There were also additional benefits to learners in the reciprocal peer coaching learning model, which were not available to learners in the individualistic model. These benefits included reduced learner anxiety and greater confidence. The peer coaching also produced specific performance benefits for both low and high achieving students.",3377323.0,Eleanor S. Lee
Renovating and Maintaining Your French Home,,3377322.0,William Hume Blake
International Medical Graduates in the Netherlands,"For many years, Paul Herfs (1955) has been closely involved in the integration of foreign doctors in the Netherlands. During the 1990s, there was a sharp increase in the immigration of doctors trained outside the European Economic Area. Often their medical diplomas were not recognised by the Health Secretary; therefore, many doctors contacted university medical faculties, as it was impossible to work as a doctor in the Netherlands without a Dutch doctor's diploma. As the student counsellor for foreign students, Paul Herfs was one of their first contacts at Utrecht University. With his help, dozens of foreign doctors successfully enrolled in Utrecht University medical faculty. A number of activities led to the composition of this doctoral thesis, including the development of a training course in Medical Dutch for foreign doctors and a study into the medical careers of foreign doctors in the Netherlands. At present, Paul Herfs works as ombudsman at Utrecht University.",3377300.0,Eleanor Saunders
Courtesies in the Gulf Area : A Dictionary of Colloquial Phrase and Usage,"The warmth of the people in the Gulf region is legendary. The exchange of greetings and courtesies is an essential part of life and it can be difficult for a visitor to summon up the right reply at the right moment to match his hosts' grace and goodwill. Courtesies in the Gulf Area addresses exactly this need. It is filled with vocabulary and phrases to help the visitor handle any occasion. With a section on proverbs, good manners and everyday courtesies, this is a unique and useful companion for anyone wishing to make an impression in the Gulf.",3377265.0,Winnie Griggs
Empath Healing : Thriving and Surviving to Protect Yourself from Negative Energies and Beliefs: How to Embrace and Thrive with Your Empath Gift,Empath Healing: Thriving And Surviving To Protect You From Negative Energies And Beliefs,3377183.0,Lisa Ann Walker
"Blacksmithing : Start Blacksmithing Easy. Amazing Projects With Instructions and Pictures: (How To Blacksmithing, Metal Work)",Blacksmithing: Start Blacksmithing Easy. Amazing Projects With Instructions and Pictures,3377051.0,Laura (il.) Fernandez Blanco
"Bully, Victim, or Hero? How to Assert Yourself Without Being a Target for Bullying or Violence.","Have you ever been bullied? Have you ever watched someone be bullied? Our usual response to bullying is to fight back, run away, or ignore it and try to be the better person while the bully has their way. But what if you knew of another alternative? One that didn't invite more aggression...one that puts you in control of the situation so that you do not lose face in front of peers...one that helps you diffuse or even handle the bully outright while you stand your ground? In this book you are going to learn: How not to think or react like a victim How to stand up for yourself if you are an intended target of bullying or violence How to stand up for others as the bystander How to break the cycle of self-sabotage that causes aggressive behavior or bullying. If you have children in school- If you are a teacher, school administrator, or someone that plays a role in the life of a child- If you have ever felt hopeless and out of options- If you want to know how to be assertive without being violent, this book is definitely for you. Put control back into your life. Learn to be an assertive, effective Hero!",3377045.0,Raymond Bock
A Grammar of Manchu,"Originally published in 1879 in St Petersburg, this important work has never been reprinted and remains a bibliographical rarity. Ivan Il'ich Zakharov originally entered the Russian diplomatic service and was responsible for redrawing the western Russian-Chinese border which resulted in the significant transfer of Chinese territory to Russia. Zakharov ended his career as Professor of Manchu at St Petersburg Imperial University; his research into the Manchu language gaining him a Doctoral degree in Manchu Philology in 1875. Although he based his approach to the grammar on the conventions of Latin grammars of his day, the work contains a mine of valuable information.",3376877.0,Peter Rhee
"Transparent Tape : Over 350 Super, Simple, and Surprising Uses You've Probably Never Thought of","Inexpensive, indispensable, and easy-to-use, transparent tape can be found in nearly every home. With her trademark flair for pragmatic creativity, popular helpful hints expert Vicki Lansky offers ingenious ways to use tape in the kitchen and car, for home maintenance and personal hygiene, with pets and with plants. In her down-to-earth style, Lansky shows how to use tape to create an instant bird feeder with a sticky-side-out loop dipped in bird seed, cover a watch crystal when painting to keep it paint-free, secure small bundles of fresh herbs to a cutting board before chopping, prolong the life of crayons by reinforcing them around the middle, and much more. This new edition also includes many tips shared by readers of the first edition. Including a brief history of tape's serendipitous invention, Transparent Tape is a practical and fun guide to making the most of a product that most people wouldn't know how to live without.",3376727.0,Aminkeng A. Alemanji
Cogniciones Distribuidas : Consideraciones Psicologicas y Educativas,"Tradicionalmente se ha concebido la cognición humana como si fuese algo ""poseído"" y residiese ""en la cabeza"" de los individuos sin prestar atención, en general, al estudiarla, a los entornos social, físico y artificial en que se produce. Los ensayos aquí reunidos proponen un abordaje basado en la idea de una cognición ""distribuida"" entre los individuos y un conocimiento construido socialmente a través de esfuerzos cooperativos dirigidos a alcanzar objetivos comunes y desarrollados en entornos culturales, donde la información es objeto de un procesamiento que tiene lugar entre los individuos y las herramientas y artefactos que proporciona la cultura.",3376663.0,Carolyn R. Fawcett
Tecniche Teatrali E Formazione Dell'oratore in Quintiliano,"The volume focuses on the evidence of scenic art present in Quintilian's Institutio oratoria to verify its influence on the education of the speaker.The enquiry will also make reference to all Greek and Latin sources useful in highlighting the mutual dependence between oratory and theater from the fifth century B.C. to the second century A.D. The most important area of investigation concerns the teaching of comoedus, master of diction and gestures. The fields of specialization and methods configured by Quintilian recall in detail the training process followed by Demosthenes to achieve excellence in the actio under the guidance of different actors; this close similarity suggests a persistence of training relationships between theater and oratory. The choice of comoedus is based on well-defined selection criteria: in particular, the comedy seems to have replaced the tragedy as the teaching model in the imperial era because of its greater verisimilitude. The enquiry extends to the acting techniques used in the imperial era, with particular attention to the mask and the strategies of identification that the actor could suggest to the speaker to activate the process of sympatheia with the public.",3376626.0,Thomas Valesky
Tight Women in Hard Places,She's a woman who's been around the block. She knows what she wants and how to get it.,3376486.0,Ian Torode
The Relationship Between Chinese Mothers-In-Law and Daughters-In-Law,"The relationship between Chinese mothers-in-law and daughters-in-law has been characterized as the most problematic family relationship in Chinese history. The Chinese mother-in-law is generally depicted as a jealous and power hungry woman who gangs up with her son to bully her daughter-in-law in order to secure her place in the family. With globalization, however, young generations from all over the world are exposed to different cultural values, including views on marriage. Despite the cultural exchange, the myth of the ""evil"" Chinese mother-in-law persists, affecting the lives of many. This thesis investigates the ""evil"" mother-in-law myth based on social, cultural and historical contexts and hopes to present a more accurate picture of the living reality of this debatable relationship in the present time. Even though this study was targeted at Chinese population, the findings may be generalized across cultures in that it provides a structural analysis on the relationship that lessens the emotional charge that has historically been associated with the infamous triangular relationship.",3376478.0,Carl Wendorff
Teaching Grammar Through Literature - A Task-Based Approach,"This book aims at investigating whether teaching literature and teaching grammar can be integrated in second language teaching. In the literature review part of the work the first aim is to provide a summary of the studies that have dealt with the questions of why literature and grammar should be taught in the language classroom and especially how teachers should teach them. Since there is hardly any literature on how these two areas can be integrated, the aim is to find those points where the two language teaching areas can be combined. In the second part of the book four activities are introduced to show possible ways how theory can be put into practice in the language classroom. They are also implemented and, as the results show, they are regarded by the students as effective and motivating ways of teaching grammar through literature. The work should help shed some light on this new and exciting teaching area, and should be specially useful to teachers of English who may consider utilizing teaching grammar for teaching literature.",3376446.0,Professor Sally Kyd
Haunted Michigan : Recent Encounters with Active Spirits,"Buy a theater ticket, treat yourself to dinner at a nice restaurant, stop in for drinks at the neighborhood tavern, or visit a historical setting. These places and more are yours to visit all across Michigan. Just keep your eyes open and your ears tuned in at all times because the strangers you see and the voices you hear may prove that ghosts are found in places both ordinary and extraordinary. The Haunting Continues! Includes a glossary of paranormal terms, a full description of each haunted location, dates of investigations, and haunt meters to rate the pervasiveness of paranormal activity. Experience the ghostly regions of Michigan through these pages and, if you have the courage, explore a haunting on your own!",3376422.0,Amby Burfoot
JET Minibook Maker 1 - British Life & Customs,"There is a need in the ELT primary classroom for resources which introduce students to basic elements of British culture, such as festivals, and daily life in the UK. This resource enables students to create their own 'mini-books' by completing fun topic-based activities, with opportunities to personalize their work.",3376362.0,W. E. Jones
Deep in the Valley of Tea Bowls,"What do a poet and a potter have in common? Isn't the daily task of working with clay, be it plugging, glazing or trimming pots ready to be fired in the kiln much the same as writing zero drafts in a journal and moulding these entries into poetry for publication? After many years of taking notes at Fergus Stewart's pottery studios, Kathy Kituai and Fergus Stewart, who both endeavour to capture the ordinary moment in their art, came to the conclusion that the main difference between pottery and poetry, was only an extra 't'. Deep in the Valley of Tea Bowls, then, sets the process of craft into a fluid dialogue between art forms - pottery and poems - with pleasing and sometimes surprising results.""",3376213.0,Kevin E. Shaffer
I Can't Cook Book,"No fuss, no frills, wholesome, easy-to-prepare food for beginners, busy people or anyone who wants to prepare good meals quickly. Forget Jamie, Nigella and Heston and those glossy pictures of edible sculptures that have been whipped, separated, diced, minced, sauteed and simmered for six hours while you patiently stirred every two minutes.    The I Can't Cook Book has no fuss, no frills, just good wholesome, easy to prepare food that is a blessing to the kitchen klutz. This is a 'must have' book for those new to the kitchen: just moved out of home, newly married, newly divorced, whatever the circumstances the I Can't Cook Book will painlessly turn you into an 'I Can Cook' with its easy to follow but delicious-to-eat recipes. The I Can't Cook Book will save you money, be good for your health, tantalise your tastebuds and best of all you will learn that you can cook.",3376177.0,Megan Mcnealy
Celebrating Home,"PBS host and television chef Christy Rost brings her experience as a cooking teacher, lifestyle authority, entertaining guru, and home restoration expert together in her third book, Celebrating Home. Focusing on the joys of nesting and at-home gatherings, Celebrating Home encompasses every aspect of great entertaining for family and close friends. Gorgeous photographs of individual dishes, party vignettes, and warm interiors illustrate a generous collection of delectable recipes. You will find helpful serving suggestions, seasonal table settings, inspiration for creating a gracious home, and fresh floral arrangements, all set in the intimacy of Christy's 19th century mountain home. Welcome Christy into your home and make every day a joyful, easy and memorable celebration.",3376105.0,Milap Punia
Little Book of 101 Cool Cocktails,"Presented in a beautiful and handy small format, the Little Book of 101 Cool Cocktails provides oodles of inspiration for your next interaction with the liquor cabinet, with everything from egg nog to a Long Island Iced Tea, and everyone's favourite daiquiris.",3376034.0,Lisa Ganobcsik-Williams
Murach's CICS Desk Reference,"This new edition of Murach's classic CICS Programmer's Desk Reference is updated throughout to present both the latest versions of CICS and the latest CICS programming practices. An easy-to-use CICS command reference makes up the bulk of the book, but there is also new or expanded material on CICS program design.",3376011.0,Rivvy Neshama
Understanding PAD Laminated Poster,"Features full-colour illustrations that help enhance understanding of the body or illness. This book is suitable for healthcare professions, patients, students, educators and parents.",3375936.0,Alba Duro
Pulmonary System Laminated Poster,"Designed as reference material to increase knowledge of the human body, this title features full-colour illustrations that help enhance understanding of the body or illness. It is suitable for healthcare professions, patients, students, educators and parents.",3375933.0,Alba Duro
Understanding Migraines Laminated Poster,"Designed as reference material to increase knowledge of the human body. Beautiful full-colour illustrations help enhance understanding of the body or illness. Suitable for healthcare professions, patients, students, educators and parents.",3375929.0,Alba Duro
Design Collection # 20 : Weekend Weaving Projects,"""The 15 quick projects in this stunning collection can be begun and completed in a weekend. Weavers will find a wealth of design ideas that can be fit into busy schedules and will learn the tricks of designing simply, from totes to tablecloths. Each project includes the weave structure featured, equipment needed, the amount and type of yarn or thread, notions, warp order and length, warp and weft spacing, and notes on take-up and shrinkage. Each project concludes with details about the best way to finish the project, including edges, and washing instructions.""",3375917.0,K. R. Rao
Handwoven Laces,"Both new and experienced hand weavers will find inspiration in this beautiful guide to creating lace. While true laces are laboriously made with needles or bobbins, hand weavers can use a loom to quickly produce lovely lacy fabrics. The loom-controlled textures depend upon groups of threads that work together and do not reveal their full effect until the cloth comes off the loom and is washed. Suitable for self-study or class use, this book offers weavers a sense of design mastery and a wealth of ideas and lace patterns.",3375916.0,Kevin B O'Connell
"Formation of Character : Charlotte Mason Homeschooling Series, Vol. 5","Formation of Character is the fifth volume of Charlotte Mason's six part homeschooling series, a series that is considered one of the finest ever written on education. Part I includes case studies of those who cured themselves of bad habits. Part II includes reflections on schooling and vacations. Part III covers various aspects of home schooling, with a special attention given to teaching to girls. Part IV consists of examples of how education affected the character in famous writers. Charlotte Mason was a British educator whose ideas were far ahead of her time. She believed that it was better to feed the minds of children with living literature and vital ideas than dry facts and knowledge filtered and predigested by the teacher. Mason's method of education shows it's strength through its widespread use today by private schools and homeschooling families. It is flexible and includes first-hand exposure to ideas through books in art, music, and poetry, nature observation as the primary means of early science teaching, use of manipulatives and real-life application to understand mathematical concepts and learning to reason, rather than rote memorization, and an emphasis on character and on cultivating and maintaining good personal habits. The complete collection of Charlotte Mason's Original Homeschooling Series includes: Volume 1 - Home Education Volume 2 - Parents and Children Volume 3 - School Education Volume 4 - Ourselves Volume 5 - Formation Of Character Volume 6 - Towards A Philosophy of Education",3375912.0,Barbara Kerr
"English Church Fittings, Furniture and Accessories","Written shortly before his death in 1919, English Church Fittings, Furniture & Accessories forms a sequel and companion volume to John Charles Cox's The English Parish Church. From churchyard gateway to pulpit, Cox proves a friendly and knowledgeable guide. His survey of church design from the Middle Ages onwards includes fonts, carvings, screens, bells, lecterns, monuments, murals, chained books and more besides. He selects the finest examples from across England, each feature considered in the context of historical development and regional variation and accompanied throughout by illustrations and photographs.",3375875.0,Lawyer Life Notebooks
Union Institute & University at 50 : Leaders Realizing a Dream,"This is a Print on Demand title. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc.",3375847.0,Cesar Rubiales Martin
Romance of the Rails : Why the Passenger Trains We Love Are Not the Transportation We Need,"American transportation has undergone many technological revolutions: from sailing ships to steam ships; from canals to railroads; from steam to Diesels; from horse cars to electric streetcars; from passenger trains and urban rail transit to airplanes and automobiles. Normally, the government has allowed and even encouraged these revolutions, but for some reason the federal government is spending billions of dollars trying to preserve and build obsolete rail transit and passenger train lines, including high-speed trains that cost more but are less than half as fast as flying. In Romance of the Rails, rail fan and transportation policy expert Randal O'Toole asks why passenger trains have been singled out and whether this policy makes sense. To answer this question, the book looks at the history of both intercity and urban rail transportation going back to 1825. The Golden Age of rail passenger travel, from about 1890 to 1920, depended on job and population concentrations that no longer exist today. Moreover, even during that Golden Age, most rail travel was confined to the elites, while a majority of Americans rarely if ever rode a streetcar or intercity train. Federally subsidized efforts to return to that Golden Age, through subsidies to Amtrak and local transit agencies, are doing more harm than good to personal mobility. Instead, the transportation of the future will rely on America's 4 million miles of roads and air travel that requires minimal infrastructure.",3375815.0,Ramya Kuppureddy
Textbook of Orthopaedics,"The study of orthopaedics and fractures is hugely important to every undergraduate medical student, and it is difficult finding the right textbook that will give them a sufficient level of knowledge and help them through their examinations. ""Textbook of Orthopaedics"" is just such a book, giving more than enough information, while at the same time focussing on the main goal - passing the orthopaedics exam. The book is divided into 8 sections, which deal with the obligatory, standard areas of study, such as general orthopaedics, regional injuries, and both traumatic and non-traumatic disorders. But there are also innovative sections which discuss amputations, prosthetics, sports medicine, arthroplasty and arthroscopy, and the final section of appendices gives information about orthopaedic implants and instrumentation in common use, as well as tips and hints for practical exam sessions. The book is very ""student friendly"" with numerous excellent pedagogical features - diagrams, end of chapter summaries, flow charts, mnemonics, differential shading of tables and columns, anecdotes, jokes, and historical references. X-rays are found at the end of each chapter and there is also a focus on back ache, a very common orthopaedic problem often neglected by other textbooks. In short ""Textbook of Orthopaedics"" is an exam-oriented textbook designed and written specifically for medical undergraduates.",3375787.0,Johannes Falnes
Effective Second Language Writing,"The classroom practices discussed in Effective Second Language Writing reflect various trends and methodologies; however, the underlying theme in this volume of the Classroom Practice Series is the need for clear and meaningful communication between ESL writers and their readers. While approaches differ, two core beliefs are constant: ESL students have something important to say, and ESL writing teachers can help them say it. Effective instruction starts with meaningful writing tasks, integrates a variety of skills and technologies, builds competencies, requires critical thinking, and employs appropriate resources. This volume of ideas and insights willenable ESL teachers to help their writing students find purposeful voices that resonate across countries, customs, disciplines, and cultures.",3375698.0,Brian Keeler
Play Better Scrabble : Master the Open Board Method and Score Higher,"Play Better Scrabble is written by National Scrabble Championship winner and the first victor on Channel 4's Countdown, Michael Goldman. The book contains strategies, hints and techniques for all stages of the game as well as instructional game examples, how to best use the S and the blank, anagrams and useful word lists.",3375627.0,Kyle Pryor
Kids ONLY Jokes,"Hey, kids! These jokes are just for you to tell any time - at home, at school, at your favourite hangout! Your friends will be rolling in the aisles! Q: Why were the early days of history called the dark ages? A: Because there were so many knights!",3375622.0,Norbert Odwor Tao
Oor Wullie Jigsaw,Oor Wullie Jigsaw,3375541.0,Arthur S Agatston
